,dance_id,season,week,couple,dance,music,judge,judge_score,total_score,result,score_type,film,broadway_show,classical_music,television_show,team_captain,guest_judge,original_couple,dance_chosen_by,disney_film,tv_show,genre,elvis_music,cirque_du_soleil_show,trio_partner,james_bond_film,dance_&_theme,film_series,music_by_britney_spears,era,musical,music_from_grease,michael_buble_music,horror_film_show,music_by_queen,mentor,villain,music_by_janet_jackson,trio_dance_partner,icon,film_theme,dynamic_duo,professionals,cher_music,icons,stevie_wonder_music,motown_music,couple_list,couple_count,judge_score_count,judge_count
0,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Carrie Ann Inaba,5,15,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
0,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Len Goodman, 5,15,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
0,308,11,Week 4: Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Bruno Tonioli, 5,15,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kurt & Anna'],1,3,3
1,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Carrie Ann Inaba,7,22,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
1,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Len Goodman, 8,22,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
1,331,11,Week 4: Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""—Kate Bush",Bruno Tonioli, 7,22,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Brandy & Maks'],1,3,3
2,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Carrie Ann Inaba,6,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
2,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Len Goodman, 7,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
2,332,11,Week 4: Acoustic Week,Rick & Cheryl,Argentine tango,"""Violentango""—Astor Piazzolla",Bruno Tonioli, 6,19,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Rick & Cheryl'],1,3,3
3,333,11,Week 4: Acoustic Week,Kyle & Lacey,Rumba,"""Nothin' on You""—B.o.B feat. Bruno Mars",Carrie Ann Inaba,6,18,Safe,technical_scores,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,['Kyle & Lacey'],1,3,3
