judge_score_id,judge,judge_score,performance_id,season,week,week_theme,couple,primary_dance_style,primary_song,primary_song_artist,total_score,dance_style,music,result,week_title,celeb_name_part,pro_name_part,professional,celebrity,notability,film,era,original_couple,dance_chosen_by,tv_show,disney_film,film_theme,trio_partner,james_bond_film,dynamic_duo,professionals,icon,film_series,icons,mentor,horror_film_show,trio_dance_partner,villain,cirque_du_soleil_show,genre,broadway_show,television_show,musical,guest_judge,michael_jackson_theme
0,Carrie Ann Inaba,6.5,132,10,4,Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""",Eurythmics,18,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Safe,Week 4: Double-score Week,Erin,Maks,Maksim Chmerkovskiy,Erin Andrews,ESPN sportscaster,,,,,,,,,,,,,,,,,,,,,,,,,
1,Len Goodman,6.5,132,10,4,Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""",Eurythmics,18,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Safe,Week 4: Double-score Week,Erin,Maks,Maksim Chmerkovskiy,Erin Andrews,ESPN sportscaster,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bruno Tonioli,6.5,132,10,4,Double-score Week,Erin & Maks,Tango,"""Sweet Dreams (Are Made of This)""",Eurythmics,18,Tango,"""Sweet Dreams (Are Made of This)""—Eurythmics",Safe,Week 4: Double-score Week,Erin,Maks,Maksim Chmerkovskiy,Erin Andrews,ESPN sportscaster,,,,,,,,,,,,,,,,,,,,,,,,,
3,Carrie Ann Inaba,9.0,135,10,4,Double-score Week,Evan & Anna,Tango,"""Wait a Minute""",The Pussycat Dolls feat. Timbaland,26,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Safe,Week 4: Double-score Week,Evan,Anna,Anna Trebunskaya,Evan Lysacek,Olympic figure skater,,,,,,,,,,,,,,,,,,,,,,,,,
4,Len Goodman,8.0,135,10,4,Double-score Week,Evan & Anna,Tango,"""Wait a Minute""",The Pussycat Dolls feat. Timbaland,26,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Safe,Week 4: Double-score Week,Evan,Anna,Anna Trebunskaya,Evan Lysacek,Olympic figure skater,,,,,,,,,,,,,,,,,,,,,,,,,
5,Bruno Tonioli,9.0,135,10,4,Double-score Week,Evan & Anna,Tango,"""Wait a Minute""",The Pussycat Dolls feat. Timbaland,26,Tango,"""Wait a Minute""—The Pussycat Dolls feat. Timbaland",Safe,Week 4: Double-score Week,Evan,Anna,Anna Trebunskaya,Evan Lysacek,Olympic figure skater,,,,,,,,,,,,,,,,,,,,,,,,,
6,Carrie Ann Inaba,6.0,136,10,4,Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""",Celine Dion,18,Rumba,"""Taking Chances""—Celine Dion",Safe,Week 4: Double-score Week,Niecy,Louis,Louis van Amstel,Niecy Nash,"Comedian, actress & host",,,,,,,,,,,,,,,,,,,,,,,,,
7,Len Goodman,6.0,136,10,4,Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""",Celine Dion,18,Rumba,"""Taking Chances""—Celine Dion",Safe,Week 4: Double-score Week,Niecy,Louis,Louis van Amstel,Niecy Nash,"Comedian, actress & host",,,,,,,,,,,,,,,,,,,,,,,,,
8,Bruno Tonioli,6.0,136,10,4,Double-score Week,Niecy & Louis,Rumba,"""Taking Chances""",Celine Dion,18,Rumba,"""Taking Chances""—Celine Dion",Safe,Week 4: Double-score Week,Niecy,Louis,Louis van Amstel,Niecy Nash,"Comedian, actress & host",,,,,,,,,,,,,,,,,,,,,,,,,
9,Carrie Ann Inaba,5.5,137,10,4,Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""",Kris Allen,15,Rumba,"""Live Like We're Dying""—Kris Allen",Eliminated,Week 4: Double-score Week,Aiden,Edyta,Edyta Śliwińska,Aiden Turner,All My Children actor,,,,,,,,,,,,,,,,,,,,,,,,,
10,Len Goodman,5.5,137,10,4,Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""",Kris Allen,15,Rumba,"""Live Like We're Dying""—Kris Allen",Eliminated,Week 4: Double-score Week,Aiden,Edyta,Edyta Śliwińska,Aiden Turner,All My Children actor,,,,,,,,,,,,,,,,,,,,,,,,,
11,Bruno Tonioli,5.5,137,10,4,Double-score Week,Aiden & Edyta,Rumba,"""Live Like We're Dying""",Kris Allen,15,Rumba,"""Live Like We're Dying""—Kris Allen",Eliminated,Week 4: Double-score Week,Aiden,Edyta,Edyta Śliwińska,Aiden Turner,All My Children actor,,,,,,,,,,,,,,,,,,,,,,,,,
12,Carrie Ann Inaba,8.5,138,10,4,Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""",Roberta Flack,25,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Safe,Week 4: Double-score Week,Nicole,Derek,Derek Hough,Nicole Scherzinger,Pussycat Dolls singer,,,,,,,,,,,,,,,,,,,,,,,,,
13,Len Goodman,8.0,138,10,4,Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""",Roberta Flack,25,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Safe,Week 4: Double-score Week,Nicole,Derek,Derek Hough,Nicole Scherzinger,Pussycat Dolls singer,,,,,,,,,,,,,,,,,,,,,,,,,
14,Bruno Tonioli,8.5,138,10,4,Double-score Week,Nicole & Derek,Rumba,"""The First Time Ever I Saw Your Face""",Roberta Flack,25,Rumba,"""The First Time Ever I Saw Your Face""—Roberta Flack",Safe,Week 4: Double-score Week,Nicole,Derek,Derek Hough,Nicole Scherzinger,Pussycat Dolls singer,,,,,,,,,,,,,,,,,,,,,,,,,
15,Carrie Ann Inaba,6.5,143,10,4,Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""",Edwyn Collins,19,Tango,"""A Girl Like You""—Edwyn Collins",Safe,Week 4: Double-score Week,Jake,Chelsie,Chelsie Hightower,Jake Pavelka,The Bachelor star,,,,,,,,,,,,,,,,,,,,,,,,,
16,Len Goodman,6.5,143,10,4,Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""",Edwyn Collins,19,Tango,"""A Girl Like You""—Edwyn Collins",Safe,Week 4: Double-score Week,Jake,Chelsie,Chelsie Hightower,Jake Pavelka,The Bachelor star,,,,,,,,,,,,,,,,,,,,,,,,,
17,Bruno Tonioli,6.0,143,10,4,Double-score Week,Jake & Chelsie,Tango,"""A Girl Like You""",Edwyn Collins,19,Tango,"""A Girl Like You""—Edwyn Collins",Safe,Week 4: Double-score Week,Jake,Chelsie,Chelsie Hightower,Jake Pavelka,The Bachelor star,,,,,,,,,,,,,,,,,,,,,,,,,
18,Carrie Ann Inaba,5.0,144,10,4,Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""",Adam Lambert,14,Tango,"""For Your Entertainment""—Adam Lambert",Safe,Week 4: Double-score Week,Kate,Tony,Tony Dovolani,Kate Gosselin,Reality television star,,,,,,,,,,,,,,,,,,,,,,,,,
19,Len Goodman,5.5,144,10,4,Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""",Adam Lambert,14,Tango,"""For Your Entertainment""—Adam Lambert",Safe,Week 4: Double-score Week,Kate,Tony,Tony Dovolani,Kate Gosselin,Reality television star,,,,,,,,,,,,,,,,,,,,,,,,,
20,Bruno Tonioli,5.5,144,10,4,Double-score Week,Kate & Tony,Tango,"""For Your Entertainment""",Adam Lambert,14,Tango,"""For Your Entertainment""—Adam Lambert",Safe,Week 4: Double-score Week,Kate,Tony,Tony Dovolani,Kate Gosselin,Reality television star,,,,,,,,,,,,,,,,,,,,,,,,,
21,Carrie Ann Inaba,7.5,145,10,4,Double-score Week,Chad & Cheryl,Rumba,"""Try Sleeping with a Broken Heart""",Alicia Keys,21,Rumba,"""Try Sleeping with a Broken Heart""—Alicia Keys",Safe,Week 4: Double-score Week,Chad,Cheryl,Cheryl Burke,Chad Ochocinco,NFL wide receiver,,,,,,,,,,,,,,,,,,,,,,,,,
22,Len Goodman,6.5,145,10,4,Double-score Week,Chad & Cheryl,Rumba,"""Try Sleeping with a Broken Heart""",Alicia Keys,21,Rumba,"""Try Sleeping with a Broken Heart""—Alicia Keys",Safe,Week 4: Double-score Week,Chad,Cheryl,Cheryl Burke,Chad Ochocinco,NFL wide receiver,,,,,,,,,,,,,,,,,,,,,,,,,
23,Bruno Tonioli,8.0,145,10,4,Double-score Week,Chad & Cheryl,Rumba,"""Try Sleeping with a Broken Heart""",Alicia Keys,21,Rumba,"""Try Sleeping with a Broken Heart""—Alicia Keys",Safe,Week 4: Double-score Week,Chad,Cheryl,Cheryl Burke,Chad Ochocinco,NFL wide receiver,,,,,,,,,,,,,,,,,,,,,,,,,
24,Carrie Ann Inaba,7.5,150,10,4,Double-score Week,Pamela & Damian,Rumba,"""I Can't Make You Love Me""",Bonnie Raitt,23,Rumba,"""I Can't Make You Love Me""—Bonnie Raitt",Safe,Week 4: Double-score Week,Pamela,Damian,Damian Whitewood,Pamela Anderson,Playboy model & actress,,,,,,,,,,,,,,,,,,,,,,,,,
25,Len Goodman,7.5,150,10,4,Double-score Week,Pamela & Damian,Rumba,"""I Can't Make You Love Me""",Bonnie Raitt,23,Rumba,"""I Can't Make You Love Me""—Bonnie Raitt",Safe,Week 4: Double-score Week,Pamela,Damian,Damian Whitewood,Pamela Anderson,Playboy model & actress,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bruno Tonioli,8.5,150,10,4,Double-score Week,Pamela & Damian,Rumba,"""I Can't Make You Love Me""",Bonnie Raitt,23,Rumba,"""I Can't Make You Love Me""—Bonnie Raitt",Safe,Week 4: Double-score Week,Pamela,Damian,Damian Whitewood,Pamela Anderson,Playboy model & actress,,,,,,,,,,,,,,,,,,,,,,,,,
27,Carrie Ann Inaba,6.0,2823,11,4,Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""",Train,15,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Safe,Week 4: Acoustic Week,Kurt,Anna,Anna Trebunskaya,Kurt Warner,NFL quarterback,,,,,,,,,,,,,,,,,,,,,,,,,
28,Len Goodman,5.5,2823,11,4,Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""",Train,15,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Safe,Week 4: Acoustic Week,Kurt,Anna,Anna Trebunskaya,Kurt Warner,NFL quarterback,,,,,,,,,,,,,,,,,,,,,,,,,
29,Bruno Tonioli,5.5,2823,11,4,Acoustic Week,Kurt & Anna,Rumba,"""Drops of Jupiter (Tell Me)""",Train,15,Rumba,"""Drops of Jupiter (Tell Me)""—Train",Safe,Week 4: Acoustic Week,Kurt,Anna,Anna Trebunskaya,Kurt Warner,NFL quarterback,,,,,,,,,,,,,,,,,,,,,,,,,
30,Carrie Ann Inaba,8.0,2849,11,4,Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""",Kate Bush,22,Rumba,"""This Woman's Work""—Kate Bush",Safe,Week 4: Acoustic Week,Brandy,Maks,Maksim Chmerkovskiy,Brandy,Singer & actress,,,,,,,,,,,,,,,,,,,,,,,,,
31,Len Goodman,8.0,2849,11,4,Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""",Kate Bush,22,Rumba,"""This Woman's Work""—Kate Bush",Safe,Week 4: Acoustic Week,Brandy,Maks,Maksim Chmerkovskiy,Brandy,Singer & actress,,,,,,,,,,,,,,,,,,,,,,,,,
32,Bruno Tonioli,8.0,2849,11,4,Acoustic Week,Brandy & Maks,Rumba,"""This Woman's Work""",Kate Bush,22,Rumba,"""This Woman's Work""—Kate Bush",Safe,Week 4: Acoustic Week,Brandy,Maks,Maksim Chmerkovskiy,Brandy,Singer & actress,,,,,,,,,,,,,,,,,,,,,,,,,
33,Carrie Ann Inaba,6.0,2850,11,4,Acoustic Week,Rick & Cheryl,Argentine Tango,"""Violentango""",Astor Piazzolla,19,Argentine tango,"""Violentango""—Astor Piazzolla",Safe,Week 4: Acoustic Week,Rick,Cheryl,Cheryl Burke,Rick Fox,NBA small forward,,,,,,,,,,,,,,,,,,,,,,,,,
34,Len Goodman,7.0,2850,11,4,Acoustic Week,Rick & Cheryl,Argentine Tango,"""Violentango""",Astor Piazzolla,19,Argentine tango,"""Violentango""—Astor Piazzolla",Safe,Week 4: Acoustic Week,Rick,Cheryl,Cheryl Burke,Rick Fox,NBA small forward,,,,,,,,,,,,,,,,,,,,,,,,,
