celebrity_id,celebrity,notability
1,Erin Andrews,ESPN sportscaster
2,Evan Lysacek,Olympic figure skater
3,Niecy Nash,"Comedian, actress & host"
4,Aiden Turner,All My Children actor
5,Nicole Scherzinger,Pussycat Dolls singer
6,Kurt Warner,NFL quarterback
7,Jake Pavelka,The Bachelor star
8,Kate Gosselin,Reality television star
9,Chad Ochocinco,NFL wide receiver
10,Brandy,Singer & actress
11,Rick Fox,NBA small forward
12,Kyle Massey,Disney Channel actor & rapper
13,Pamela Anderson,Playboy model & actress
14,The Situation,Jersey Shore star
15,Florence Henderson,The Brady Bunch actress
16,Jennifer Grey,Film & television actress
17,Bristol Palin,"Activist, author &---daughter of Sarah Palin"
18,Audrina Patridge,The Hills star
19,George Hamilton,Actor
20,Maria Menounos,Television host
21,Metta World Peace,NBA small forward
22,Chelsea Kane,Disney Channel actress
23,Aaron Carter,Singer & actor
24,Lil' Kim,Rapper
25,Cody Linley,Hannah Montana actor
26,Penn Jillette,Magician
27,Jennie Garth,Television actress
28,Ian Ziering,Television actor
29,Joey Lawrence,Television actor
30,Joey Fatone,NSYNC singer & actor
31,Mary Lou Retton,Olympic gymnast
32,Chris Mazdzer,Olympic luger
33,Terrell Owens,NFL wide receiver
34,Normani,Fifth Harmony singer
35,Marilu Henner,"Actress, broadcaster & author"
36,Lisa Rinna,Television actress & host
37,Kenny Mayne,ESPN anchorman
38,Stacy Keibler,WWE Diva
39,Jack Wagner,Actor & singer
40,Donald Driver,NFL wide receiver
41,Gavin DeGraw,Singer-songwriter
42,Roshon Fegan,Disney Channel actor & rapper
43,Sherri Shepherd,The View panelist & actress
44,Kim Fields,Actress & reality television star
45,Rob Kardashian,Reality television star
46,Kristin Cavallari,Reality television star
47,Chynna Phillips,Wilson Phillips singer---& solo artist
48,Wendy Williams,Talk show host & author
49,Hines Ward,NFL wide receiver
50,Petra Němcová,Supermodel
51,Romeo,Rapper & actor
52,Margaret Cho,Stand-up comedian
53,Shannen Doherty,Film & television actress
54,Chuck Liddell,UFC fighter
55,Mark Dacascos,Iron Chef America chairman
56,Victor Espinoza,Jockey
57,Belinda Carlisle,Singer-songwriter
58,Lawrence Taylor,NFL linebacker
59,Steve-O,Jackass star
60,Willow Shields,The Hunger Games actress
61,Antonio Sabàto Jr.,General Hospital actor & model
62,Rocco DiSpirito,Celebrity chef & author
63,Toni Braxton,Singer-songwriter
64,Maurice Greene,Olympic sprinter
65,Brooke Burke,Model & television host
66,Ted McGinley,Film & television actor
67,NeNe Leakes,Reality television star & actress
68,Jason Taylor,NFL defensive end
69,Cristián de la Fuente,Film & television actor
70,Adam Carolla,Comedian & radio host
71,Josie Maran,Model & actress
72,Sabrina Bryan,The Cheetah Girls singer & actress
73,Marie Osmond,Entertainer
74,Mel B,Spice Girls singer
75,Jane Seymour,Film & television actress
76,Paulina Porizkova,Supermodel
77,Billy Ray Cyrus,Country music singer & actor
78,Leeza Gibbons,Talk-show host
79,Sara Evans,Country music singer
80,Tucker Carlson,News anchor & commentator
81,Monique Coleman,High School Musical actress
82,Emmitt Smith,NFL running back
83,Brant Daugherty,Pretty Little Liars actor
84,Shawn Johnson,Olympic gymnast
85,Hélio Castroneves,Indy 500 champion
86,Milo Manheim,Disney Channel star
87,Evanna Lynch,Harry Potter actress & activist
88,Danelle Umstead,Paralympic alpine skier
89,Bobby Bones,Radio personality
90,Kareem Abdul-Jabbar,NBA center
91,Jennie Finch Daigle,Olympic softball pitcher
92,Jamie Anderson,Olympic snowboarder
93,Mirai Nagasu,Olympic figure skater
94,Arike Ogunbowale,Women's basketball player
95,Debbie Gibson,Singer-songwriter---& Broadway actress
96,Sasha Pieterse,Pretty Little Liars actress
97,Drew Scott,Property Brothers co-host
98,Barbara Corcoran,Shark Tank panelist---& businesswoman
99,Nancy Kerrigan,Olympic figure skater
100,Chris Kattan,Actor & comedian
101,Bonner Bolton,Model & bull rider
102,Charo,"Actress, comedian & musician"
103,Nick Viall,The Bachelor star
104,Kellie Pickler,Country music singer
105,James Hinchcliffe,IndyCar driver
106,Calvin Johnson Jr.,NFL wide receiver
107,Maureen McCormick,Actress & author
108,Babyface,Singer-songwriter &---record producer
109,Joey McIntyre,New Kids on the Block singer
110,Jordin Sparks,Singer-songwriter & actress
111,Drew Lachey,98 Degrees singer
112,Tia Carrere,Actress & model
113,Master P,Rapper & entrepreneur
114,Melissa Gilbert,Actress
115,William Levy,Telenovela actor
116,Martina Navratilova,Professional tennis player
117,Katherine Jenkins,Classical singer
118,Paige VanZant,UFC fighter & model
119,Doug Flutie,NFL quarterback
120,Jodie Sweetin,Full House actress
121,Geraldo Rivera,Journalist & talk show host
122,Marla Maples,Actress & television personality
