primary_song_artist_id,primary_song_artist
1,Eurythmics
2,The Pussycat Dolls feat. Timbaland
3,Celine Dion
4,Kris Allen
5,Roberta Flack
6,Edwyn Collins
7,Adam Lambert
8,Alicia Keys
9,Bonnie Raitt
10,Train
11,Kate Bush
12,Astor Piazzolla
13,B.o.B feat. Bruno Mars
14,Tanghetto
15,The Beatles
16,Gerardo Matos Rodríguez
17,Rihanna feat. Jay-Z
18,Jefferson Airplane
19,Santana
20,Aretha Franklin
21,Donna Summer
22,Curtis Stigers
23,Ricky Martin
24,Beyoncé feat. Jay-Z
25,Louis Armstrong
26,The Jackson 5
27,Roxette
28,The Blackout All-Stars
29,Lionel Richie
30,Whitney Houston
31,"Earth, Wind & Fire"
32,Jackie DeShannon
33,Elton John
34,Norah Jones
35,Aerosmith
36,The Pointer Sisters
37,Destiny's Child
38,Fred Astaire
39,Wham!
40,John Travolta & Olivia Newton-John
41,Diana Ross & Lionel Richie
42,Irving Berlin
43,Enrique Iglesias
44,Sweet Charity
45,Nelly Furtado
46,Cherry Poppin' Daddies
47,Berlin
48,Duke Ellington
49,Jackie Wilson
50,The Contours
51,Britney Spears
52,Kenny Loggins
53,Debelah Morgan
54,Victor Silvester
55,Queen
56,Danny Malando
57,Elvis Presley
58,The Champs
59,from Chicago
60,The Tango Project
61,Andy Fortuna
62,Quincy Jones
63,"Grover Washington, Jr. & Bill Withers"
64,Mama Cass
65,The Animals
66,Michael Jackson
67,Nat King Cole
68,Julie London
69,Europe
70,Mexicana Aleque la-Band
71,Gipsy Kings
72,Shirley Bassey
73,Miami Sound Machine
74,Chic
75,Barbra Streisand
76,Stevie Wonder
77,Survivor
78,Christina Aguilera
79,Erich Kunzel
80,Jennifer Lopez
81,The Black Eyed Peas
82,Doris Day
83,Dolly Parton
84,All Saints
85,Phil Collins
86,Marilyn Monroe
87,Pink
88,Anita Baker
89,Kelly Clarkson
90,Blondie
91,Toni Braxton
92,Peggy Lee
93,Gloria Gaynor
94,Madonna
95,Harry Connick Jr.
96,Bonnie Tyler
97,The Jimmy Castor Bunch
