primary_song_id,primary_song
1,"""Sweet Dreams (Are Made of This)"""
2,"""Wait a Minute"""
3,"""Taking Chances"""
4,"""Live Like We're Dying"""
5,"""The First Time Ever I Saw Your Face"""
6,"""A Girl Like You"""
7,"""For Your Entertainment"""
8,"""Try Sleeping with a Broken Heart"""
9,"""I Can't Make You Love Me"""
10,"""Drops of Jupiter (Tell Me)"""
11,"""This Woman's Work"""
12,"""Violentango"""
13,"""Nothin' on You"""
14,"""Sweet Dreams (Are Made Of This)"""
15,"""Yesterday"""
16,"""La Cumparsita"""
17,"""Umbrella"""
18,"""Somebody to Love"""
19,"""Oye Como Va"""
20,"""(You Make Me Feel Like) A Natural Woman"""
21,"""Hot Stuff"""
22,"""I Wonder Why"""
23,"""She Bangs"""
24,"""Crazy in Love"""
25,"""What a Wonderful World"""
26,"""I Want You Back"""
27,"""I Never Loved a Man (The Way I Love You)"""
28,"""I Like It"""
29,"""Three Times A Lady"""
30,"""Respect"""
31,"""I Have Nothing"""
32,"""September"""
33,"""What the World Needs Now Is Love"""
34,"""Your Song"""
35,"""Come Away with Me"""
36,"""I Don't Wanna Miss a Thing"""
37,"""Neutron Dance"""
38,"""Emotion"""
39,"""Top Hat, White Tie and Tails"""
40,"""Careless Whisper"""
41,"""You're The One That I Want"""
42,"""Endless Love"""
43,"""Let's Face the Music and Dance"""
44,"""Hero"""
45,"""If My Friends Could See Me Now"""
46,"""I'm Like a Bird"""
47,"""Zoot Suit Riot"""
48,"""Take My Breath Away"""
49,"""It Don't Mean a Thing"""
50,"""Reet Petite"""
51,"""Do You Love Me"""
52,"""Toxic"""
53,"""Footloose"""
54,"""Dance with Me"""
55,"""I'm Still Standing"""
56,"""Hernando's Hideaway"""
57,"""Crazy Little Thing Called Love"""
58,"""Jailhouse Rock"""
59,"""Tequila"""
60,"""Cell Block Tango"""
61,"""Saturday Night's Alright for Fighting"""
62,"""Por una Cabeza"""
63,"""Matador Paso"""
64,"""Soul Bossa Nova"""
65,"""Just The Two of Us"""
66,"""Bailamos"""
67,"""Dream a Little Dream of Me"""
68,"""Don't Let Me Be Misunderstood"""
69,"""Cold, Cold Heart"""
70,"""Thriller"""
71,"""Let There Be Love"""
72,"""Why Don't You Do Right"""
73,"""The Final Countdown"""
74,"""Bootylicious"""
75,"""España cañí"""
76,"""Don't Know Why"""
77,"""Bamboleo"""
78,"""Big Spender"""
79,"""Conga"""
80,"""Le Freak"""
81,"""No More Tears (Enough Is Enough)"""
82,"""For Once in My Life"""
83,"""Eye of the Tiger"""
84,"""Dirrty"""
85,"""I'm So Excited"""
86,"""Let's Get Loud"""
87,"""Shut Up"""
88,"""Perhaps, Perhaps, Perhaps"""
89,"""9 to 5"""
90,"""Wake Me Up Before You Go-Go"""
91,"""Lady Marmalade"""
92,"""You Can't Hurry Love"""
93,"""Diamonds Are a Girl's Best Friend"""
94,"""Get The Party Started"""
95,"""The Look of Love"""
96,"""Since U Been Gone"""
97,"""One Way or Another"""
98,"""Un-Break My Heart"""
99,"""Fever"""
100,"""You Light Up My Life"""
101,"""I Am What I Am"""
102,"""Material Girl"""
103,"""It Had to Be You"""
104,"""Total Eclipse of the Heart"""
105,"""It's Just Begun"""
106,"""Celebration"""
107,"""Think"""
108,"""Stayin' Alive"""
109,"""The Killing Moon"""
110,"""TiK ToK"""
111,"""Kiss from a Rose"""
112,"""Rescue Me"""
113,"""Livin' la Vida Loca"""
114,"""Save a Horse (Ride a Cowboy)"""
115,"""Hound Dog"""
116,"""I'll Be"""
117,"""Cupid"""
118,"""Hold You In My Arms"""
119,"""Hungry Like the Wolf"""
120,"""She's Always a Woman"""
121,"""Gimme All Your Lovin'"""
122,"""Shake a Tail Feather"""
123,"""I've Got You Under My Skin"""
124,"""The Best Damn Thing"""
125,"""Love You I Do"""
126,"""Hip to be Square"""
127,"""Fly Me to the Moon"""
128,"""SOS"""
129,"""Love Story"""
130,"""I Wanna Be Loved By You"""
131,"""100 Years"""
132,"""Hot Honey Rag"""
133,"""Walk Like an Egyptian"""
134,"""With You I'm Born Again"""
135,"""Canción del Mariachi"""
136,"""Hey, Soul Sister"""
137,"""See the Day"""
138,"""Paparazzi"""
139,"""Anything Goes"""
140,"""Beggin'"""
141,"""La Bamba"""
142,"""That's Life"""
143,"""Kung Fu Fighting"""
144,"""Grace Kelly"""
145,"""All That Jazz"""
146,"""The Bare Necessities"""
147,"""You Never Can Tell"""
148,"""Old Time Rock and Roll"""
149,"""It's My Life"""
150,"""I Got You (I Feel Good)"""
151,"""Wild Thing"""
152,"""Don't You (Forget About Me)"""
153,"""Oh, Pretty Woman"""
154,"""I Don't Want to Miss a Thing"""
155,"""Comanche"""
156,"""Hey Mama"""
157,"""El Sonido De La Milonga"""
158,"""When I Get You Alone"""
159,"""Mas de lo Mismo"""
160,"""María"""
161,"""Enjoy the Silence"""
162,"""Complicación"""
163,"""The Time of My Life"""
164,"""Vision of Love"""
165,"""Mambo Gozon"""
166,"""Dancin' Fool"""
167,"""1+1=2"""
168,"""Meddle"""
169,"""Trouble"""
170,"""Sparks"""
171,"""At This Moment"""
172,"""You're the Top"""
173,"""Bust Your Windows"""
174,"""Sweet Dreams"""
175,"""Love Man"""
176,"""I Got You Babe"""
177,"""Rhythm is a Dancer"""
178,"""Una Música Brutal"""
179,"""What I Like About You"""
180,"""Missing You"""
181,"""Open Arms"""
182,"""Bulletproof"""
183,"""Seven Nation Army"""
184,"""Long Tall Sally"""
185,"""Too Darn Hot"""
186,"""Haven't Met You Yet"""
187,"""Spanish Guitar"""
188,"""February Song"""
189,"""El Tango de Roxanne"""
190,"""Crash"""
191,"""The Muppet Show Theme"""
192,"""Take Me on the Floor"""
193,"""U Got the Look"""
194,"""El Capitalismo Foraneo"""
195,"""Kiss"""
196,"""If You Don't Know Me by Now"""
197,"""Shall We Dance?"""
198,"""King of Swing"""
199,"""Would You...?"""
200,"""Alejandro"""
201,"""I've Got the World on a String"""
202,"""Bring Me to Life"""
203,"""Mi Swing Es Tropical"""
204,"""Nasty"""
205,"""Secret Agent Man"""
206,"""Don't Lie"""
207,"""Alone"""
208,"""25 Miles"""
209,"""Vito's Waltz"""
210,"""Addicted to Love"""
211,"""La Bomba"""
212,"""Underneath Your Clothes"""
213,"""Turn Me On"""
214,"""Piano Man"""
215,"""The Lady in Red"""
216,"""Are You Lonesome Tonight?"""
217,"""Just Dance"""
218,"""Train in Vain"""
219,"""It is You (I Have Loved)"""
220,"""Love Is in the Air"""
221,"""Hard to Handle"""
222,"""In the Air Tonight"""
223,"""A Little Less Conversation"""
224,"""Proud Mary"""
225,"""You Ain't Seen Nothing Yet"""
226,"""Nothin' but a Good Time"""
227,"""Moon River"""
228,"""Mas Que Nada"""
229,"""Spotlight"""
230,"""Why Can't We Be Friends?"""
231,"""LoveGame"""
232,"""I Want You to Want Me"""
233,"""We Are in Love"""
234,"""Boot Scootin' Boogie"""
235,"""El Cumbanchero"""
236,"""We Go Together"""
237,"""Charleston"""
238,"""Better in Time"""
239,"""Dr. Beat"""
240,"""Nothin' Better to Do"""
241,"""Tilt Ya Head Back"""
242,"""Higher"""
243,"""Life Is a Highway"""
244,"""Las Muchachas"""
245,"""Oh, Boy!"""
246,"""Cabaret"""
247,"""Dançando Lambada"""
248,"""Put a Lid on It"""
249,"""Stray Cat Strut"""
250,"""Smooth"""
251,"""Doing It To Death"""
252,"""Are You My Woman (Tell Me So)"""
253,"""Say Hey (I Love You)"""
254,"""As Long as I'm Singing"""
255,"""Cobrastyle"""
256,"""One Day I'll Fly Away"""
257,"""Sweet Home Alabama"""
258,"""Ain't It Funny"""
259,"""American Woman"""
260,"""God Only Knows"""
261,"""Jumpin' Jack Flash"""
262,"""I Wish I Were in Love Again"""
263,"""The Cup of Life"""
264,"""Kryptonite"""
265,"""Epoca"""
266,"""Les Toreadors"""
267,"""They"""
268,"""Play That Funky Music"""
269,"""The Pink Panther Theme"""
270,"""I Heard It Through the Grapevine"""
271,"""Take a Picture"""
272,"""Diablo Rojo"""
273,"""Tango a Pugliese"""
274,"""Sin Rumbo"""
275,"""This Will Be (An Everlasting Love)"""
276,"""Do I Do"""
277,"""Close to Me"""
278,"""All I Want To Do"""
279,"""Bananza (Belly Dancer)"""
280,"""I'm Yours"""
281,"""Tango Barbaro"""
282,"""Crazy Train"""
283,"""Whatever Lola Wants (Gotan Project remix)"""
284,"""Black Mambo"""
285,"""I Do the Jerk"""
286,"""Lover, Come Back to Me"""
287,"""Coconut Woman"""
288,"""I Can't Get Next To You"""
289,"""More Than This"""
290,"""El Matador"""
291,"""Come Rain or Come Shine"""
292,"""C'mon Everybody"""
293,"""Fool in Love"""
294,"""Blue Skies"""
295,"""Ding Dong Daddy of the D-Car Line"""
296,"""I Want You To Want Me"""
297,"""Jump in the Line (Shake, Senora)"""
298,"""Recipe for Love"""
299,"""Remedio P'al Corazon"""
300,"""Come Dance with Me"""
301,"""Only One Road"""
302,"""This Cat's On a Hot Tin Roof"""
303,"""Three Times a Lady"""
304,"""Pride and Joy"""
305,"""Bang Bang"""
306,"""Mellow Yellow"""
307,"""La Comay"""
