performance_id,judge_id,score_type,judge_score
134,1,technical_scores,6
134,2,technical_scores,6
134,3,technical_scores,6
135,1,technical_scores,9
135,2,technical_scores,8
135,3,technical_scores,9
136,1,technical_scores,6
136,2,technical_scores,6
136,3,technical_scores,6
137,1,technical_scores,5
137,2,technical_scores,5
137,3,technical_scores,5
138,1,technical_scores,9
138,2,technical_scores,8
138,3,technical_scores,8
139,1,technical_scores,6
139,2,technical_scores,7
139,3,technical_scores,6
140,1,technical_scores,4
140,2,technical_scores,5
140,3,technical_scores,5
141,1,technical_scores,7
141,2,technical_scores,6
141,3,technical_scores,8
143,1,technical_scores,7
143,2,technical_scores,8
143,3,technical_scores,8
2885,1,technical_scores,5
2885,2,technical_scores,5
2885,3,technical_scores,5
2923,1,technical_scores,7
2923,2,technical_scores,8
2923,3,technical_scores,7
2924,1,technical_scores,6
2924,2,technical_scores,7
2924,3,technical_scores,6
2925,1,technical_scores,6
2925,2,technical_scores,6
2925,3,technical_scores,6
2957,1,technical_scores,4
2957,2,technical_scores,4
2957,3,technical_scores,4
2958,1,technical_scores,6
2958,2,technical_scores,6
2958,3,technical_scores,5
2959,1,technical_scores,9
2959,2,technical_scores,9
2959,3,technical_scores,9
2960,1,technical_scores,6
2960,2,technical_scores,6
2960,3,technical_scores,6
2986,1,technical_scores,8
2986,2,technical_scores,8
2986,3,technical_scores,8
134,1,performance_scores,7
134,2,performance_scores,7
134,3,performance_scores,7
135,1,performance_scores,9
135,2,performance_scores,8
135,3,performance_scores,9
136,1,performance_scores,6
136,2,performance_scores,6
136,3,performance_scores,6
137,1,performance_scores,6
137,2,performance_scores,6
137,3,performance_scores,6
138,1,performance_scores,8
138,2,performance_scores,8
138,3,performance_scores,9
139,1,performance_scores,7
139,2,performance_scores,6
139,3,performance_scores,6
140,1,performance_scores,6
140,2,performance_scores,6
140,3,performance_scores,6
141,1,performance_scores,8
141,2,performance_scores,7
141,3,performance_scores,8
143,1,performance_scores,8
143,2,performance_scores,7
143,3,performance_scores,9
2885,1,performance_scores,7
2885,2,performance_scores,6
2885,3,performance_scores,6
2923,1,performance_scores,9
2923,2,performance_scores,8
2923,3,performance_scores,9
2924,1,performance_scores,6
2924,2,performance_scores,7
2924,3,performance_scores,7
2925,1,performance_scores,8
2925,2,performance_scores,7
2925,3,performance_scores,7
2957,1,performance_scores,6
2957,2,performance_scores,5
2957,3,performance_scores,5
2958,1,performance_scores,6
2958,2,performance_scores,6
2958,3,performance_scores,6
2959,1,performance_scores,10
2959,2,performance_scores,9
