week_theme_id,week_theme
1,Double-score Week
2,Acoustic Week
3,No Theme
4,First Dances
5,First Dances/400th Episode Week
6,Premiere Night
7,Premiere Night Party
8,First Elimination
9,Top 12
10,Team Dance Night
11,TV Night
12,Latin Night
13,Top 11
14,Celebrity's Pick Night
15,Ballroom Night / Latin Night
16,Hometown Glory Week
17,My Jam Monday
18,MVP Night (Semifinals)
19,Elvis Night
20,Most Memorable Year Week
21,Personal Story Week
22,Story-telling Week
23,Iconic Dances Week
24,New York City Night / Vegas Night
25,Face-off Night
26,Story Week
27,Vegas Night
28,Most Memorable Year Night
29,Prom Night
30,Classical Week
31,Movie Night
32,Hollywood Night
33,Finals
34,Cirque du Soleil Night
35,Rock Week
36,Movie Week
37,Opponents' Choice Week
38,60 Years of James Bond
39,Disney Night
40,Switch-Up Night
41,Guilty Pleasures Night
42,Finale
43,American Week
44,Best Year of My Life Night
45,Latin Week
46,'80s Week
47,Top 10
48,Guilty Pleasures Week
49,TV Week
50,Marathon Week
51,Broadway Week
52,Guilty Pleasure Week
53,Country Week
54,Disney+ Night
55,Len's Side-by-Side Challenge
56,Eras Night
57,Motown Week
58,Famous Dances Night
59,Halloween Week
60,Ballroom Greats Week
61,Party Anthems Night
62,Dance Fusion Week
63,Boy Bands vs. Girl Groups Night
64,Team Dance Week
65,Spring Break Night
66,Top 9
67,Trio Night
68,Halloween Night
69,Instant Choreography Week
70,Switch-Up Challenge
71,Stevie Wonder Night
72,Stars' Stories Week
73,Icons Night
74,200th Episode Week
75,Race to the Semifinals
76,A Night at the Movies
77,Veterans Day/Trio Week
78,Judges' Team-up Challenge
79,Semifinals
80,Celebrity Dance Duels Night
81,Showstoppers Night
82,Dynamic Duos Night
83,American Icons Night
84,Quarterfinals
85,America's Choice Night
86,Trio Week
87,Cher Night
88,Britney Night
89,Country Night
90,Michael Bublé Night
91,Disney Week
92,Plugged/Unplugged Night
93,Grease Night
94,Horror Night
95,Top 13
96,Queen Night
97,Cast From The Past
98,'80s Night
99,Janet Jackson Night
100,Villains Night
101,Dance-Off Week
102,Double Elimination Night
103,Boy Band & Girl Group Night
