couple_id,couple
1,Erin & Maks
2,Evan & Anna
3,Niecy & Louis
4,Aiden & Edyta
5,Nicole & Derek
6,Jake & Chelsie
7,Kate & Tony
8,Chad & Cheryl
9,Pamela & Damian
10,Kurt & Anna
11,Brandy & Maks
12,Rick & Cheryl
13,Kyle & Lacey
14,The Situation & Karina
15,Florence & Corky
16,Jennifer & Derek
17,Bristol & Mark
18,Audrina & Tony
19,George & Edyta
20,Lisa & Louis
21,Kenny & Andrea
22,Stacy & Tony
23,Drew & Cheryl
24,Joey & Ashly
25,Tia & Maks
26,Master P & Ashly
27,Giselle & Jonathan
28,Jerry & Anna
29,Rachel & Jonathan
30,Evander & Edyta
31,Kelly & Alec
32,John & Charlotte
33,Tatum & Nick
34,Trista & Louis
35,Shannen & Mark
36,Buzz & Ashly
37,Aaron & Karina
38,Chuck & Anna T.
39,Mark & Lacey
40,Ashley & Edyta
41,Donny & Kym
42,Louie & Chelsie
43,Michael & Anna D.
44,Tom & Cheryl
45,Debi & Maks
46,Melissa & Mark
47,Mýa & Dmitry
48,Kathy & Tony
49,Natalie & Alec
50,Macy & Jonathan
51,Joanna & Derek
52,Kelly & Louis
53,Lil' Kim & Derek
54,Belinda & Jonathan
55,Lawrence & Edyta
56,Steve-O & Lacey
57,Gilles & Cheryl
58,Chuck & Julianne
59,Holly & Dmitry
60,Ty & Chelsie
61,Shawn & Mark
62,Steve & Karina
63,David & Kym
64,Denise & Maks
65,Melissa & Tony
66,Cody & Julianne
67,Rocco & Karina
68,Toni & Alec
69,Maurice & Cheryl
70,Brooke & Derek
71,Ted & Inna
72,Lance & Lacey
73,Cloris & Corky
74,Jeffrey & Edyta
75,Kim & Mark
76,Susan & Tony
77,Misty & Maks
78,Warren & Kym
79,Joanna & Maks
80,Penn & Kym
81,Jason & Edyta
82,Cristián & Cheryl
83,Adam & Julianne
84,Mario & Karina
85,Steve & Anna
86,Shannon & Derek
87,Monica & Jonathan
88,Marissa & Tony
89,Priscilla & Louis
90,Kristi & Mark
91,Marlee & Fabian
92,Mark & Anna T.
93,Jennie & Derek
94,Josie & Alec
95,Sabrina & Mark
96,Marie & Jonathan
97,Mel & Maks
98,Jane & Tony
99,Cameron & Edyta
100,Floyd & Karina
101,Hélio & Julianne
102,Albert & Anna
103,Mark & Kym
104,Wayne & Cheryl
105,Ian & Cheryl
106,Paulina & Alec
107,Billy Ray & Karina
108,Leeza & Tony
109,Joey & Edyta
110,Joey & Kym
111,Laila & Maks
112,John & Edyta
113,Sara & Tony
114,Tucker & Elena
115,Monique & Louis
116,Emmitt & Cheryl
117,Willa & Maks
118,Shandi & Brian
119,Clyde & Elena
120,Heather & Jonathan
121,Apolo & Julianne
122,Shanna & Jesse
123,Shawn & Derek
124,Sabrina & Louis
125,Hélio & Chelsie
126,Pamela & Tristan
127,Harry & Ashly
128,Vivica & Nick
129,Jerry & Kym
130,Cody & Edyta
131,Willow & Mark
132,Apolo & Karina
133,Gilles & Peta
134,Robert & Kym
135,Riker & Allison
136,Charlotte & Keo
137,Patti & Artem
138,Drew & Anna
139,Kelly & Val
140,Chris & Witney
141,Michael & Peta
142,Nastia & Derek
143,Redfoo & Emma
144,Kirstie & Maks
145,Noah & Sharna
146,Suzanne & Tony
147,Rumer & Val
148,Antonio & Cheryl
149,Lea & Artem
150,Janel & Val
151,Lolo & Keo
152,Betsey & Tony
153,NeNe & Tony
154,Tavis & Sharna
155,Sadie & Mark
156,Michael & Emma
157,Jonathan & Allison
158,James & Peta
159,Danica & Val
160,Sean & Karina
161,Billy Dee & Emma
162,Tommy & Peta
163,Randy & Karina
164,Bethany & Derek
165,Alfonso & Witney
166,Brant & Peta
167,Meryl & Maks
168,Candace & Mark
169,Cody & Witney
170,Leah & Tony
171,Corbin & Karina
172,Jack & Cheryl
173,Amber & Derek
174,Amy & Derek
175,Diana & Henry
176,Charlie & Sharna
177,Kellie & Derek
178,Elizabeth & Val
179,Bill N. & Tyne
180,Keyshawn & Sharna
181,Victor & Lindsay
182,Ingo & Kym
183,Lisa & Gleb
184,Christina & Mark
185,Bill E. & Emma
186,Valerie & Tristan
187,Maria & Derek
188,D.L. & Cheryl
189,Zendaya & Val
190,Sean & Peta
191,Alexandra & Mark
192,Nicole & Sasha
193,Jack & Anna
194,Donald & Peta
195,Gavin & Karina
196,Roshon & Chelsie
197,Dorothy & Tristan
198,Wynonna & Tony
199,Andy & Sharna
200,Jacoby & Karina
201,Sherri & Val
202,Melissa & Maks
203,William & Cheryl
204,Martina & Tony
205,Katherine & Mark
206,Gladys & Tristan
207,Jaleel & Kym
208,Jordin & Brandon
209,Sam & Cheryl
210,Heidi & Artem
211,Daniel & Britt
212,Jessie & Alan
213,Candace & Tony
214,Teresa & Pasha
215,Wayne & Witney
216,Cheryl & Louis
217,Vinny & Koko
218,James & Cheryl
219,Drew & Witney
220,Danica & Maks
221,Melanie & Gleb
222,Shangela & Gleb
223,Trevor & Emma
224,Gabby & Val
225,Antonio & Allison
226,Charlie & Peta
227,Amy & Mark
228,Cody & Sharna
229,NeNe & Derek
230,The Miz & Witney
231,Iman & Daniella
232,Olivia & Val
233,Jimmie & Emma
234,Joseph & Daniella
235,Jason & Peta
236,Selma & Sasha
237,Charli & Mark
238,Bethany & Mark
239,Jonathan & Peta
240,Alfonso & Cheryl
241,Janel & Artem
242,Meryl & Val
243,Melora & Artem
244,Suni & Sasha
245,Cody & Cheryl
246,Amanda & Alan
247,Michael & Witney
248,Tommy & Emma
249,Sadie & Derek
250,Martin & Britt
251,Kenya & Brandon
252,Christine & Pasha
253,Matt & Lindsay
254,Lea & Val
255,Nastia & Sasha
256,AJ & Cheryl
257,Brian & Sharna
258,JoJo & Jenna
259,Chrishell & Gleb
260,Vernon & Peta
261,Anne & Keo
262,Jeannie & Brandon
263,Joseph & Alexis
264,Hannah & Alan
265,Jesse & Sharna
266,Skai & Alan
267,Kaitlyn & Artem
268,Kel & Witney
269,Kate & Pasha
270,Lamar & Peta
271,Lauren & Gleb
272,Nev & Jenna
273,Johnny & Britt
274,Justina & Sasha
275,Charles & Emma
276,D.L & Cheryl
277,Sailor & Val
278,Karamo & Jenna
279,Ray & Cheryl
280,Mary & Brandon
281,Ally & Sasha
282,Monica & Val
283,Nelly & Daniella
284,Carole & Pasha
285,Sean & Lindsay
286,James & Emma
287,Mary Lou & Sasha
288,Milo & Witney
289,Evanna & Keo
290,Danelle & Artem
291,Bobby & Sharna
292,Juan Pablo & Cheryl
293,Nikki & Gleb
294,Alexis & Alan
295,John & Emma
296,Tinashe & Brandon
297,Nancy & Val
298,Joe & Jenna
299,DeMarcus & Lindsay
300,Kareem & Lindsay
301,Jennie & Keo
302,Jamie & Artem
303,Mirai & Alan
304,Terrell & Cheryl
305,Arike & Gleb
306,Adam & Jenna
307,Johnny & Emma
308,Debbie & Alan
309,Sasha & Gleb
310,Drew & Emma
311,Tonya & Sasha
312,Josh & Sharna
313,Barbara & Keo
314,Jordan & Lindsay
315,Nick & Peta
316,Vanessa & Maks
317,Normani & Val
318,Frankie & Witney
319,Nikki & Artem
320,Derek & Sharna
321,Victoria & Val
322,Nancy & Artem
323,Bonner & Sharna
324,Lindsey & Mark
325,Marilu & Derek
326,Charo & Keo
327,James & Sharna
328,Calvin & Lindsay
329,Heather & Maks
330,David & Lindsay
331,Erika & Gleb
332,Rashad & Emma
333,Kim & Sasha
334,Maureen & Artem
335,Babyface & Allison
336,Amber & Maks
337,Vanilla Ice & Witney
338,Mr. T & Kym
339,Simone & Sasha
340,Paige & Mark
341,Doug & Karina
342,Jodie & Keo
343,Geraldo & Edyta
344,Marla & Tony
345,Jana & Gleb
346,Jake & Jenna
347,Rick & Emma
348,Terra & Sasha
349,Heather & Alan
350,Wanyá & Lindsay
351,Ginger & Val
352,Mischa & Artem
353,Nyle & Peta
354,Ryan & Cheryl
355,Laurie & Val
356,Antonio & Sharna
357,Von & Witney
358,Victor & Karina
359,Paige & Alan
360,Tamar & Val
361,Chaka & Keo
362,Hayes & Emma
363,Andy & Allison
364,Paula & Louis
365,Carlos & Witney
366,Alexa & Mark
367,Kim & Tony
368,Vanessa & Alan
369,Bindi & Derek
370,Gary & Anna
371,Alek & Lindsay
372,Nick & Sharna
373,Sean & Jenna
374,Metta & Peta
375,Chelsea & Mark
376,Rob & Cheryl
377,Kristin & Mark
378,Chynna & Tony
379,Nancy & Tristan
380,Wendy & Tony
381,Hines & Kym
382,Petra & Dmitry
383,Elisabetta & Val
384,Hope & Maks
385,Carson & Anna
386,J.R. & Karina
387,Romeo & Chelsie
388,Sugar Ray & Anna
389,Kendra & Louis
390,Ralph & Karina
391,Ricki & Derek
392,Chaz & Lacey
393,Chris & Cheryl
394,Mike & Lacey
395,Wanyá & Witney
396,Kim & Keo
397,Doug & Peta
398,Ginger & Mark
399,Antonio & Karina
400,Paige & Sasha
401,Von & Lindsay
402,Nyle & Sharna
403,Jodie & Val
404,Margaret & Louis
405,Michael & Chelsie
406,Tamar & Louis
407,Hayes & Allison
408,Paula & Mark
409,Alek & Emma
410,Bindi & Val
411,James & Jenna
412,Carlos & Lindsay
413,Alexa & Derek
414,Nick & Witney
