"primary_dance_style_id","primary_dance_style"
1,"Tango"
2,"Rumba"
3,"Argentine Tango"
4,"Cha-Cha-Cha"
5,"Waltz"
6,"Foxtrot"
7,"Viennese Waltz"
8,"Salsa"
9,"Quickstep"
10,"Jive"
11,"Contemporary"
12,"Mambo"
13,"Samba"
14,"Paso Doble"
15,"Swing"
16,"Jazz"
17,"Charleston"
18,"Freestyle"
19,"Rock And Roll"
20,"Disco"
21,"Bolero"
22,"Bollywood"
23,"Jitterbug"
24,"Hip-Hop"
25,"Lindy Hop"
26,"West Coast Swing"
27,"Flamenco"
28,"Burlesque"
29,"Hustle"
30,"Broadway"
31,"Two-Step"
32,"Lambada"
33,"Bhangra"
34,"Afro-Jazz"
