"primary_song_artist_id","primary_song_artist"
1,"Eurythmics"
2,"The Pussycat Dolls feat. Timbaland"
3,"Celine Dion"
4,"Kris Allen"
5,"Train"
6,"Roberta Flack"
7,"Edwyn Collins"
8,"Adam Lambert"
9,"Alicia Keys"
10,"Kate Bush"
11,"Astor Piazzolla"
12,"B.o.B feat. Bruno Mars"
13,"Tanghetto"
14,"Bonnie Raitt"
15,"The Beatles"
16,"Gerardo Matos Rodríguez"
17,"Rihanna feat. Jay-Z"
18,"Jefferson Airplane"
19,"Santana"
20,"Nelly & Christina Aguilera"
21,"Tina Turner"
22,"Billy Joel"
23,"Billy Idol"
24,"Body Rockers"
25,"Michael Jackson"
26,"Pitbull feat. Lil Jon"
27,"Aretha Franklin"
28,"Donna Summer"
29,"Curtis Stigers"
30,"Sara Bareilles"
31,"Stray Cats"
32,"Carlos Santana feat. Rob Thomas"
33,"Fred Wesley & The J.B.'s"
34,"The Chi-Lites"
35,"The Beach Boys"
36,"Marvin Gaye"
37,"David Sanborn"
38,"Donovan"
39,"The Black Eyed Peas"
40,"Katy Perry feat. Snoop Dogg"
41,"The Jimmy Castor Bunch"
42,"Madcon"
43,"Janet Jackson"
44,"Meghan Trainor"
45,"Nat King Cole"
46,"Pussycat Dolls"
47,"The Supremes"
48,"Eartha Kitt"
49,"Enrique Iglesias feat. Ludacris & DJ Frank E"
50,"Ella Fitzgerald"
51,"Billy Ray Cyrus"
52,"Frank Sinatra"
53,"Bee Gees"
54,"Barry Manilow"
55,"David Bowie & Mick Jagger"
56,"Dusty Springfield"
57,"Owl City & Carly Rae Jepsen"
58,"One Direction"
59,"Amy Winehouse"
60,"from Sweet Charity"
61,"Robin Thicke feat. Kendrick Lamar"
62,"Rogue Wave"
63,"Taio Cruz"
64,"Robin Thicke feat. T.I. & Pharrell Williams"
65,"Jessie J"
66,"Kelly Clarkson"
67,"Ricky Martin"
68,"Louis Armstrong"
69,"The Jackson 5"
70,"Roxette"
71,"The Blackout All-Stars"
72,"Chaka Khan"
73,"Flo Rida feat. David Guetta"
74,"Norah Jones"
