score_id,performance_id,judge_id,score_type,judge_score
1,134,1,technical_scores,6
2,134,2,technical_scores,6
3,134,3,technical_scores,6
4,135,1,technical_scores,9
5,135,2,technical_scores,8
6,135,3,technical_scores,9
7,136,1,technical_scores,6
8,136,2,technical_scores,6
9,136,3,technical_scores,6
10,137,1,technical_scores,5
11,137,2,technical_scores,5
12,137,3,technical_scores,5
13,138,1,technical_scores,9
14,138,2,technical_scores,8
15,138,3,technical_scores,8
16,139,1,technical_scores,6
17,139,2,technical_scores,7
18,139,3,technical_scores,6
19,140,1,technical_scores,4
20,140,2,technical_scores,5
21,140,3,technical_scores,5
22,141,1,technical_scores,7
23,141,2,technical_scores,6
24,141,3,technical_scores,8
25,143,1,technical_scores,7
26,143,2,technical_scores,8
27,143,3,technical_scores,8
28,2885,1,technical_scores,5
29,2885,2,technical_scores,5
30,2885,3,technical_scores,5
31,2923,1,technical_scores,7
32,2923,2,technical_scores,8
33,2923,3,technical_scores,7
34,2924,1,technical_scores,6
35,2924,2,technical_scores,7
36,2924,3,technical_scores,6
37,2925,1,technical_scores,6
38,2925,2,technical_scores,6
39,2925,3,technical_scores,6
40,2957,1,technical_scores,4
41,2957,2,technical_scores,4
42,2957,3,technical_scores,4
43,2958,1,technical_scores,6
44,2958,2,technical_scores,6
45,2958,3,technical_scores,5
46,2959,1,technical_scores,9
47,2959,2,technical_scores,9
48,2959,3,technical_scores,9
49,2960,1,technical_scores,6
50,2960,2,technical_scores,6
51,2960,3,technical_scores,6
52,2986,1,technical_scores,8
53,2986,2,technical_scores,8
54,2986,3,technical_scores,8
55,134,1,performance_scores,7
56,134,2,performance_scores,7
57,134,3,performance_scores,7
58,135,1,performance_scores,9
59,135,2,performance_scores,8
60,135,3,performance_scores,9
61,136,1,performance_scores,6
62,136,2,performance_scores,6
63,136,3,performance_scores,6
64,137,1,performance_scores,6
65,137,2,performance_scores,6
66,137,3,performance_scores,6
67,138,1,performance_scores,8
68,138,2,performance_scores,8
69,138,3,performance_scores,9
70,139,1,performance_scores,7
71,139,2,performance_scores,6
72,139,3,performance_scores,6
73,140,1,performance_scores,6
74,140,2,performance_scores,6
75,140,3,performance_scores,6
76,141,1,performance_scores,8
77,141,2,performance_scores,7
78,141,3,performance_scores,8
79,143,1,performance_scores,8
80,143,2,performance_scores,7
81,143,3,performance_scores,9
82,2885,1,performance_scores,7
83,2885,2,performance_scores,6
84,2885,3,performance_scores,6
85,2923,1,performance_scores,9
86,2923,2,performance_scores,8
87,2923,3,performance_scores,9
88,2924,1,performance_scores,6
89,2924,2,performance_scores,7
90,2924,3,performance_scores,7
91,2925,1,performance_scores,8
92,2925,2,performance_scores,7
93,2925,3,performance_scores,7
94,2957,1,performance_scores,6
95,2957,2,performance_scores,5
96,2957,3,performance_scores,5
97,2958,1,performance_scores,6
98,2958,2,performance_scores,6
