week_theme_id,week_theme
1,Double-score Week
2,Acoustic Week
3,No Theme
4,Finale
5,First Dances
6,First Elimination
7,Story-telling Week
8,Movie Week
9,Marathon Week
10,Team Dance Week
11,Race to the Semifinals
12,Semifinals
13,Finals
14,Premiere Night
15,Top 12
16,My Jam Monday
17,Iconic Dances Week
18,Latin Night
19,Opponents' Choice Week
20,Celebrity's Pick Night
21,Most Memorable Year Night
22,Guilty Pleasures Week
23,Movie Night
24,Disney Night
25,Premiere Night Party
26,Halloween Week
27,Hollywood Night
28,Country Week
29,Prom Night
30,Spring Break Night
31,Switch-Up Night
32,Top 10
33,Dance Fusion Week
34,Most Memorable Year Week
35,Eras Night
36,Elvis Night
37,Best Year of My Life Night
38,Top 9
39,Rock Week
40,Party Anthems Night
41,Veterans Day/Trio Week
42,Len's Side-by-Side Challenge
43,America's Choice Night
44,60 Years of James Bond
45,Halloween Night
46,Switch-Up Challenge
47,Latin Week
48,Britney Night
49,Stevie Wonder Night
50,Dynamic Duos Night
51,Celebrity Dance Duels Night
52,Motown Week
53,Disney+ Night
54,Team Dance Night
55,Disney Week
56,American Icons Night
57,Cher Night
58,Stars' Stories Week
59,New York City Night / Vegas Night
60,Cast From The Past
61,Trio Night
62,First Dances/400th Episode Week
63,Top 13
64,Classical Week
65,Ballroom Night / Latin Night
66,MVP Night (Semifinals)
67,Plugged/Unplugged Night
68,Grease Night
69,'80s Night
70,Trio Week
71,TV Night
72,Horror Night
73,Vegas Night
74,Michael Bublé Night
75,Face-off Night
76,Top 11
77,Guilty Pleasures Night
78,Queen Night
79,Dance-Off Week
80,Hometown Glory Week
81,Villains Night
82,Cirque du Soleil Night
83,Double Elimination Night
84,Boy Band & Girl Group Night
85,Janet Jackson Night
86,Boy Bands vs. Girl Groups Night
87,A Night at the Movies
88,Personal Story Week
89,Famous Dances Night
90,Country Night
91,Icons Night
92,Story Week
93,'80s Week
94,Quarterfinals
95,American Week
96,Judges' Team-up Challenge
97,Guilty Pleasure Week
98,Broadway Week
99,TV Week
100,Showstoppers Night
101,Ballroom Greats Week
102,Instant Choreography Week
103,200th Episode Week
